zhat,log,k_0,k_1,k_2,k_3,k_4
2.0,22.145644578770746,8.673886575492821e-12,0.0,0.9999999847803118,1.2916510175630018e-09,1.3919363226131415e-08
2.0,22.49858248357946,6.610384771710708e-12,0.0,0.9999999879375365,9.489481403089694e-10,1.110690486107707e-08
2.0,26.116087316911642,1.3428895437687056e-12,0.0,0.9999999995960587,8.815026617291497e-11,3.1444821614902986e-10
2.0,22.872569073835667,2.5823833019366803e-12,0.0,0.9999999438645807,1.0334894946902503e-09,5.509934735065165e-08
2.0,22.872562783280255,2.582339655974384e-12,0.0,0.9999999438633219,1.033569294675058e-09,5.5100526237978565e-08
2.0,24.896296493317664,1.1530381477419803e-12,0.0,0.9999999978043503,1.7273244399726081e-10,2.0217641235771376e-09
2.0,24.317594649884853,6.065272552969251e-12,0.0,0.9999999951273447,6.193034978279743e-10,4.2472861452216036e-09
2.0,23.52360078063718,1.1112572739967423e-11,0.0,0.9999999920906824,1.2048904987974456e-09,6.693314266001691e-09
2.0,21.462195665199225,6.523623361437306e-11,0.0,0.9999999943171464,2.4121237939480217e-09,3.2054933719366984e-09
2.0,21.462195664493223,6.524565390023913e-11,0.0,0.9999999943166438,2.412660494192441e-09,3.205449919821793e-09
2.0,22.797552522381523,1.119960859856046e-10,0.0,0.9999999912804608,3.0648126033987254e-09,5.542730236907967e-09
2.0,24.602747738804773,4.573832724285444e-12,0.0,0.9999999986252484,3.4521080121948476e-10,1.0249666219266714e-09
2.0,21.46976899516133,7.60789552122721e-10,0.0,0.9999999786168058,1.1567665718673568e-08,9.05473871344232e-09
2.0,23.818584649767867,2.0953594584263012e-12,0.0,0.9999999921390572,5.607632534386709e-10,7.298083817546386e-09
2.0,24.372207075506548,6.3953027677246626e-12,0.0,0.9999999987706143,3.25864082599081e-10,8.971257478324797e-10
2.0,24.40930102485593,9.901609129560257e-12,0.0,0.9999999989518079,3.4123106139547653e-10,6.970588292700006e-10
2.0,25.120445148415378,2.3311130059070832e-12,0.0,0.9999999981602093,2.5015923433298425e-10,1.5872998382811046e-09
2.0,24.170325155713,6.708161904876421e-12,0.0,0.9999999912117815,1.0900166315947831e-09,7.691493250550151e-09
2.0,19.523481185006744,4.159779552980114e-09,0.0,0.9999999358428501,3.938918052643974e-08,2.0608189268083856e-08
2.0,23.310433951593346,8.540466277636338e-13,0.0,0.9999999986128549,9.405654520772757e-11,1.2922338607528212e-09
2.0,23.121800797169083,7.106955234624407e-12,0.0,0.9999999993769992,2.147131797274739e-10,4.0118012168361444e-10
2.0,24.228573249124725,7.801431284536673e-12,0.0,0.9999999994775975,1.7191044748998543e-10,3.426898105967892e-10
2.0,24.341426758290122,5.27186250013522e-12,0.0,0.9999999992516333,1.900890254670279e-10,5.530048954041169e-10
2.0,23.642756856132515,1.4782004615736815e-12,0.0,0.9999999983414557,1.3145810656910286e-10,1.525606865933535e-09
2.0,23.778370959877996,2.2886535180827497e-12,0.0,0.999999998880118,1.4808962759753395e-10,9.69502625460956e-10
2.0,26.59047362847267,1.6966822078668025e-12,0.0,0.9999999994545986,1.2016881428908304e-10,4.2353482977348015e-10
2.0,25.067092590969736,2.3837573320640984e-11,0.0,0.9999999985854249,5.672257037508519e-10,8.235107365343838e-10
2.0,21.647749658521807,6.681204384780278e-12,0.0,0.9999998736478035,2.5832527954705705e-09,1.2376226132316508e-07
2.0,25.02313083276178,1.6917130296334898e-12,0.0,0.9999999990097327,1.2630576330540893e-10,8.622687579146313e-10
2.0,22.81967626833554,2.0216160009400057e-12,0.0,0.9999999922963275,6.431514527124969e-10,7.058498431778081e-09
2.0,23.131325700492976,1.47843178428863e-11,0.0,0.9999999965181393,1.0523035105276317e-09,2.414771666260775e-09
2.0,22.794023402851995,1.6153993419891725e-11,0.0,0.999999995803097,1.2919510955627695e-09,2.8887967226527443e-09
2.0,21.76432103663461,4.593755133408228e-12,0.0,0.9999999667189989,1.6821514061064126e-09,3.1594254604811045e-08
2.0,22.313826899603548,2.609924660729932e-12,0.0,0.9999999813805601,8.531476103948657e-10,1.776368104592947e-08
2.0,24.549194841913554,1.2722690827073368e-12,0.0,0.9999999972952615,2.587779431432477e-10,2.4446872948918964e-09
2.0,22.22178810434664,4.0977849071153555e-11,0.0,0.9999999759781618,3.329006617395305e-09,2.0651852768013417e-08
2.0,24.900512719429933,3.582850521019419e-12,0.0,0.9999999989613918,2.4098279697655906e-10,7.940414444246574e-10
2.0,24.406060109461443,1.7921007466527582e-11,0.0,0.999999998670552,6.420088570660865e-10,6.695171177897369e-10
2.0,23.957854999232442,1.1339133748450614e-12,0.0,0.9999999969733243,2.371735129036913e-10,2.78836684483729e-09
2.0,24.237652052667396,1.00015516739496e-12,0.0,0.9999999990080807,1.3216129002512586e-10,8.58756598818599e-10
2.0,21.41893879059231,2.11869897875012e-12,0.0,0.9999999889407089,4.4713914252529195e-10,1.0610031878754437e-08
2.0,24.027991474064276,1.7009298338328865e-11,0.0,0.9999999992315927,3.136585685253639e-10,4.3773803162698604e-10
2.0,23.04118706000573,1.1592065937650351e-11,0.0,0.999999996742784,5.132433931228628e-10,2.7323794868484125e-09
2.0,20.43677922187053,4.0234245037359206e-11,0.0,0.99999999027346,2.0836125974288708e-09,7.602692016133354e-09
2.0,21.289357736786005,1.7943685220892514e-11,0.0,0.9999999962752134,9.983740848723032e-10,2.70846752900193e-09
2.0,20.4445766384114,2.4214362918661923e-11,0.0,0.9999999819595448,1.998227087548546e-09,1.601801251916433e-08
2.0,19.499198742525298,2.7507377172458558e-11,0.0,0.9999999890153112,1.886918386183287e-09,9.070261891700816e-09
2.0,17.277879619673037,2.2322672819818078e-10,0.0,0.999999959551077,9.334063426746213e-09,3.089163191715918e-08
2.0,16.278539055635186,1.1572161122680373e-09,0.0,0.9999999183327525,2.8088089330981312e-08,5.2421941143037655e-08
2.0,17.46780949351535,6.163204021345694e-11,0.0,0.9999999727599739,4.7128131759596074e-09,2.2465579940746888e-08
