k_0,k_1,k_2,k_3,k_4,log,zhat
7.416920272207449,-60048.439573847514,24.43803781574933,9.823432979792578,8.244833886708703,24.43803839878387,2.0
12.35076052353706,-60032.60018007554,25.432198528698443,14.113834434474095,13.202912550196956,25.432217645114882,2.0
12.35076052353706,-60032.60018007554,25.432198528698443,14.113834434474095,13.202912550196956,25.432217645114882,2.0
12.908426464255921,-60038.84555294304,24.462127363190064,13.955966303388427,12.978210446260674,24.462174624171368,2.0
13.665728802915998,-60039.45675412772,20.817368668999237,13.748837815125633,12.034038311350912,20.81915539985353,2.0
12.123956060474239,-60032.04532209908,18.951242721380837,11.698765305612994,10.008101303901295,18.953163717121683,2.0
11.416113632204867,-60032.90487396459,20.514367049489486,12.932639044384473,12.060728235302399,20.515201365581838,2.0
11.748094955939877,-60034.9184433141,20.998335358605615,13.501804714984184,12.53438061097647,20.999197018588173,2.0
7.994655776888248,-60033.53152644345,19.75221943545931,11.356511423556142,12.944910419660012,19.753557867987933,2.0
7.994655776888248,-60033.53152644345,19.75221943545931,11.356511423556142,12.944910419660012,19.753557867987933,2.0
7.58679966962757,-60029.413605409005,18.72450769197657,11.244743460755156,12.71932954157625,18.7275479592202,2.0
11.255583170571244,-60028.633718560166,23.77619646004851,13.115988194682226,12.040291663657804,23.776231571494726,2.0
9.967465126890904,-60037.07126343257,23.027758101244064,13.426244523478044,13.283435202696666,23.027886473929403,2.0
9.967465126890904,-60037.07126343257,23.027758101244064,13.426244523478044,13.283435202696666,23.027886473929403,2.0
8.850269821340264,-60034.636641743,22.579675949603942,12.539490097751727,13.206602276240114,22.579805624563257,2.0
8.850269821340264,-60034.636641743,22.579675949603942,12.539490097751727,13.206602276240114,22.579805624563257,2.0
9.819388625693307,-60032.73479592029,21.498360810269613,12.236505782863524,12.461136156509076,21.49858313496194,2.0
11.630499291890311,-60031.776756718384,19.691251679135668,12.166516568213765,10.008924552403695,19.69216889531323,2.0
11.630499291890311,-60031.776756718384,19.691251679135668,12.166516568213765,10.008924552403695,19.69216889531323,2.0
12.340044324674432,-60033.450588987136,26.00297606530163,15.034850112418336,15.099708632733668,26.003012870106517,2.0
11.039429653941527,-60033.646782004,24.94777248605991,14.333036118807103,15.057745461188805,24.947848623614547,2.0
10.621103381206709,-60037.9832969027,24.646273140383997,14.014138137543041,14.719069017193647,24.64634690470858,2.0
11.298780048851217,-60040.09141481906,25.209885241814252,14.120702987967016,13.611238585128056,25.209910605518488,2.0
10.665266218780523,-60044.59037098929,24.65978668299534,13.650819269346876,13.109232793562406,24.659813702034477,2.0
13.695412277139848,-60036.97390579022,25.89354820567315,15.081152038611489,13.501095183272648,25.893577543062122,2.0
13.444311645128755,-60037.01171933752,25.46884941423291,14.929125074422394,13.370835566044223,25.468887443381618,2.0
13.413214946627166,-60041.936748183114,24.916228581331154,15.063862801272746,13.547534445126262,24.91630285224938,2.0
12.056778100545419,-60041.96254944633,25.188653708917695,14.899974590163511,14.639337235684899,25.188715915454363,2.0
